"start_day","start_month","end_day","end_month","stage","taxon","tvk"
6,2,18,12,"mature","Cheilosia fraterna","NBNSYS0000005502"
6,2,30,12,"mature","Baccha elongata","NBNSYS0000006862"
8,3,8,9,"mature","Melanostoma dubium","NBNSYS0000006865"
17,1,18,12,"mature","Melanostoma mellinum","NBNSYS0000006866"
7,1,18,12,"mature","Melanostoma scalare","NBNSYS0000006867"
2,2,2,11,"mature","Platycheirus ambiguus","NBNSYS0000006869"
5,1,18,12,"mature","Platycheirus albimanus","NBNSYS0000006871"
8,4,2,11,"mature","Platycheirus angustatus","NBNSYS0000006872"
26,3,1,10,"mature","Platycheirus discimanus","NBNSYS0000006874"
7,4,1,11,"mature","Platycheirus fulviventris","NBNSYS0000006875"
8,5,13,11,"mature","Platycheirus immarginatus","NBNSYS0000006876"
7,3,18,12,"mature","Platycheirus manicatus","NBNSYS0000006877"
8,3,10,10,"mature","Platycheirus melanopsis","NBNSYS0000006878"
3,5,15,9,"mature","Platycheirus perpallidus","NBNSYS0000006880"
7,3,7,10,"mature","Platycheirus podagratus","NBNSYS0000006881"
7,5,7,10,"mature","Platycheirus scambus","NBNSYS0000006882"
7,4,24,9,"mature","Platycheirus sticticus","NBNSYS0000006884"
2,4,2,11,"mature","Platycheirus tarsalis","NBNSYS0000006885"
25,4,28,11,"mature","Xanthandrus comtus","NBNSYS0000006889"
8,4,7,11,"mature","Paragus haemorrhous","NBNSYS0000006890"
21,5,11,10,"mature","Paragus tibialis","NBNSYS0000006891"
1,6,2,11,"mature","Paragus albifrons","NBNSYS0000006892"
21,3,2,11,"mature","Chrysotoxum bicinctum","NBNSYS0000006894"
6,4,22,9,"mature","Chrysotoxum cautum","NBNSYS0000006895"
2,4,10,10,"mature","Chrysotoxum elegans","NBNSYS0000006896"
3,2,2,11,"mature","Chrysotoxum festivum","NBNSYS0000006897"
15,4,3,11,"mature","Chrysotoxum festivum","NBNSYS0000006897"
5,5,14,8,"mature","Chrysotoxum vernale","NBNSYS0000006899"
14,5,15,11,"mature","Chrysotoxum verralli","NBNSYS0000006900"
16,1,11,12,"mature","Dasysyrphus albostriatus","NBNSYS0000006901"
24,4,22,7,"mature","Dasysyrphus friuliensis","NBNSYS0000006902"
6,2,18,12,"mature","Dasysyrphus tricinctus","NBNSYS0000006905"
14,5,20,9,"mature","Didea alneti","NBNSYS0000006907"
16,1,9,11,"mature","Didea fasciata","NBNSYS0000006908"
28,4,15,10,"mature","Didea intermedia","NBNSYS0000006909"
13,5,2,11,"mature","Epistrophe diaphana","NBNSYS0000006911"
6,2,7,11,"mature","Epistrophe eligans","NBNSYS0000006912"
27,1,12,12,"mature","Epistrophe grossulariae","NBNSYS0000006913"
6,2,7,11,"mature","Epistrophe nitidicollis","NBNSYS0000006914"
3,1,28,12,"mature","Episyrphus balteatus","NBNSYS0000006916"
11,5,31,10,"mature","Eriozona syrphoides","NBNSYS0000006917"
8,1,11,12,"mature","Leucozona glaucia","NBNSYS0000006918"
8,1,30,9,"mature","Leucozona laternaria","NBNSYS0000006919"
20,3,18,12,"mature","Leucozona lucorum","NBNSYS0000006920"
18,3,7,10,"mature","Melangyna arctica","NBNSYS0000006922"
14,3,12,8,"mature","Melangyna barbifrons","NBNSYS0000006923"
24,6,3,10,"mature","Melangyna ericarum","NBNSYS0000006925"
10,2,4,10,"mature","Melangyna lasiophthalma","NBNSYS0000006927"
24,2,1,10,"mature","Melangyna quadrimaculata","NBNSYS0000006928"
11,3,2,11,"mature","Melangyna umbellatarum","NBNSYS0000006929"
6,2,18,12,"mature","Melangyna cincta","NBNSYS0000006930"
3,1,1,1,"mature","Meliscaeva auricollis","NBNSYS0000006933"
6,2,11,12,"mature","Meliscaeva cinctella","NBNSYS0000006934"
19,2,26,11,"mature","Eupeodes corollae","NBNSYS0000006937"
10,4,7,10,"mature","Parasyrphus annulatus","NBNSYS0000006943"
29,4,3,8,"mature","Parasyrphus nigritarsis","NBNSYS0000006946"
3,3,7,11,"mature","Parasyrphus punctulatus","NBNSYS0000006947"
20,3,7,10,"mature","Parasyrphus vittiger","NBNSYS0000006948"
17,6,3,8,"mature","Scaeva albomaculata","NBNSYS0000006949"
20,8,20,8,"mature","Scaeva mecogramma","NBNSYS0000006950"
8,1,18,12,"mature","Scaeva pyrastri","NBNSYS0000006951"
5,1,28,12,"mature","Scaeva selenitica","NBNSYS0000006952"
6,2,24,9,"mature","Sphaerophoria fatarum","NBNSYS0000006953"
6,2,13,10,"mature","Sphaerophoria batava","NBNSYS0000006954"
6,6,2,9,"mature","Sphaerophoria loewi","NBNSYS0000006955"
11,4,26,11,"mature","Sphaerophoria rueppellii","NBNSYS0000006958"
5,1,10,12,"mature","Sphaerophoria scripta","NBNSYS0000006959"
26,4,2,11,"mature","Sphaerophoria taeniata","NBNSYS0000006960"
6,2,7,11,"mature","Sphaerophoria virgata","NBNSYS0000006961"
28,5,9,7,"mature","Sphaerophoria potentillae","NBNSYS0000006963"
7,1,22,12,"mature","Syrphus ribesii","NBNSYS0000006964"
8,1,20,12,"mature","Syrphus vitripennis","NBNSYS0000006966"
22,4,8,9,"mature","Xanthogramma citrofasciatum","NBNSYS0000006967"
13,3,2,10,"mature","Callicera aurata","NBNSYS0000006969"
3,1,1,1,"mature","Callicera rufa","NBNSYS0000006970"
9,9,8,10,"mature","Callicera spinolae","NBNSYS0000006971"
25,2,2,10,"mature","Cheilosia albipila","NBNSYS0000006972"
24,1,2,10,"mature","Cheilosia antiqua","NBNSYS0000006974"
21,4,6,8,"mature","Cheilosia antiqua","NBNSYS0000006974"
4,5,18,9,"mature","Cheilosia barbata","NBNSYS0000006975"
6,2,7,11,"mature","Cheilosia bergenstammi","NBNSYS0000006976"
18,4,13,9,"mature","Cheilosia carbonaria","NBNSYS0000006977"
16,3,22,6,"mature","Cheilosia chrysocoma","NBNSYS0000006978"
30,4,4,10,"mature","Cheilosia cynocephala","NBNSYS0000006979"
1,4,21,9,"mature","Cheilosia griseiventris","NBNSYS0000006981"
28,2,31,7,"mature","Cheilosia grossa","NBNSYS0000006982"
25,3,2,11,"mature","Cheilosia illustrata","NBNSYS0000006984"
2,4,7,11,"mature","Cheilosia impressa","NBNSYS0000006985"
20,4,28,10,"mature","Cheilosia longula","NBNSYS0000006988"
30,3,27,8,"mature","Cheilosia mutabilis","NBNSYS0000006989"
2,4,17,6,"mature","Cheilosia nebulosa","NBNSYS0000006991"
4,5,3,7,"mature","Cheilosia nigripes","NBNSYS0000006992"
5,2,6,12,"mature","Cheilosia pagana","NBNSYS0000006993"
11,3,7,11,"mature","Cheilosia proxima","NBNSYS0000006995"
2,6,25,9,"mature","Cheilosia sahlbergi","NBNSYS0000006997"
4,5,11,12,"mature","Cheilosia scutellata","NBNSYS0000006998"
21,3,6,7,"mature","Cheilosia semifasciata","NBNSYS0000006999"
23,4,2,12,"mature","Cheilosia soror","NBNSYS0000007000"
16,3,2,11,"mature","Cheilosia variabilis","NBNSYS0000007001"
30,4,9,9,"mature","Cheilosia velutina","NBNSYS0000007002"
5,1,6,11,"mature","Cheilosia vernalis","NBNSYS0000007003"
27,4,2,11,"mature","Cheilosia vulpina","NBNSYS0000007004"
17,1,11,12,"mature","Ferdinandea cuprea","NBNSYS0000007007"
2,4,12,9,"mature","Ferdinandea ruficornis","NBNSYS0000007008"
5,1,2,10,"mature","Portevinia maculata","NBNSYS0000007009"
6,2,18,12,"mature","Rhingia campestris","NBNSYS0000007010"
2,4,5,11,"mature","Rhingia rostrata","NBNSYS0000007011"
24,3,26,6,"mature","Brachyopa bicolor","NBNSYS0000007012"
23,2,1,12,"mature","Brachyopa insensilis","NBNSYS0000007013"
14,4,9,9,"mature","Brachyopa pilosa","NBNSYS0000007014"
27,2,2,11,"mature","Brachyopa scutellaris","NBNSYS0000007015"
8,1,18,12,"mature","Chrysogaster solstitialis","NBNSYS0000007019"
6,2,2,11,"mature","Chrysogaster virescens","NBNSYS0000007020"
7,5,24,10,"mature","Hammerschmidtia ferruginea","NBNSYS0000007021"
18,2,7,11,"mature","Lejogaster metallina","NBNSYS0000007022"
14,6,19,7,"mature","Myolepta potens","NBNSYS0000007025"
30,3,8,10,"mature","Neoascia geniculata","NBNSYS0000007026"
7,4,21,9,"mature","Neoascia interrupta","NBNSYS0000007027"
3,4,1,11,"mature","Neoascia meticulosa","NBNSYS0000007028"
27,3,4,10,"mature","Neoascia obliqua","NBNSYS0000007029"
8,1,18,12,"mature","Neoascia podagrica","NBNSYS0000007030"
12,1,27,11,"mature","Neoascia tenur","NBNSYS0000007031"
17,4,16,9,"mature","Orthonevra brevicornis","NBNSYS0000007032"
6,2,14,10,"mature","Orthonevra geniculata","NBNSYS0000007033"
20,2,2,11,"mature","Orthonevra nobilis","NBNSYS0000007034"
18,2,11,12,"mature","Sphegina clunipes","NBNSYS0000007036"
18,4,2,10,"mature","Sphegina verecunda","NBNSYS0000007038"
30,4,1,11,"mature","Anasimyia contracta","NBNSYS0000007039"
10,4,9,9,"mature","Anasimyia interpuncta","NBNSYS0000007040"
22,4,1,11,"mature","Anasimyia lineata","NBNSYS0000007041"
7,5,30,9,"mature","Anasimyia lunulata","NBNSYS0000007042"
27,4,3,10,"mature","Anasimyia transfuga","NBNSYS0000007043"
11,1,2,11,"mature","Eristalinus aeneus","NBNSYS0000007044"
10,4,2,11,"mature","Eristalinus sepulchralis","NBNSYS0000007045"
8,1,18,12,"mature","Eristalis arbustorum","NBNSYS0000007047"
6,4,13,9,"mature","Eristalis cryptarum","NBNSYS0000007048"
6,2,18,12,"mature","Eristalis horticola","NBNSYS0000007049"
8,1,11,12,"mature","Eristalis nemorum","NBNSYS0000007051"
5,1,18,12,"mature","Eristalis pertinax","NBNSYS0000007052"
16,3,6,10,"mature","Eristalis rupium","NBNSYS0000007053"
3,1,30,12,"mature","Eristalis tenax","NBNSYS0000007054"
2,7,18,7,"mature","Helophilus groenlandicus","NBNSYS0000007055"
7,3,2,11,"mature","Helophilus hybridus","NBNSYS0000007056"
8,1,22,12,"mature","Helophilus pendulus","NBNSYS0000007057"
16,4,2,11,"mature","Helophilus trivittatus","NBNSYS0000007058"
26,3,24,9,"mature","Mallota cimbiciformis","NBNSYS0000007060"
8,1,23,12,"mature","Myathropa florea","NBNSYS0000007061"
17,5,19,8,"mature","Parhelophilus consimilis","NBNSYS0000007062"
22,4,2,11,"mature","Parhelophilus frutetorum","NBNSYS0000007063"
7,4,1,11,"mature","Parhelophilus versicolor","NBNSYS0000007064"
20,4,2,11,"mature","Eumerus ornatus","NBNSYS0000007065"
22,5,12,9,"mature","Eumerus sabulonum","NBNSYS0000007066"
15,3,15,11,"mature","Eumerus strigatus","NBNSYS0000007067"
11,1,2,11,"mature","Merodon equestris","NBNSYS0000007069"
23,4,17,6,"mature","Psilota anthracina","NBNSYS0000007070"
23,5,11,12,"mature","Pelecocera tricincta","NBNSYS0000007073"
25,4,11,12,"mature","Pipiza austriaca","NBNSYS0000007080"
22,4,2,10,"mature","Pipiza austriaca","NBNSYS0000007080"
4,4,3,9,"mature","Pipiza luteitarsis","NBNSYS0000007084"
27,1,7,11,"mature","Pipiza noctiluca","NBNSYS0000007085"
26,5,12,8,"mature","Pipizella maculipennis","NBNSYS0000007086"
24,4,7,9,"mature","Trichopsomyia flavitarsis","NBNSYS0000007089"
6,5,4,10,"mature","Triglyphus primus","NBNSYS0000007090"
6,2,18,12,"mature","Sericomyia lappona","NBNSYS0000007092"
12,4,18,12,"mature","Sericomyia silentis","NBNSYS0000007093"
31,1,18,12,"mature","Volucella bombylans","NBNSYS0000007094"
18,4,11,10,"mature","Volucella inanis","NBNSYS0000007095"
8,1,5,11,"mature","Volucella inflata","NBNSYS0000007096"
31,1,18,12,"mature","Volucella pellucens","NBNSYS0000007097"
10,3,11,11,"mature","Volucella zonaria","NBNSYS0000007098"
17,3,7,12,"mature","Blera fallax","NBNSYS0000007099"
23,1,2,11,"mature","Brachypalpus laphriformis","NBNSYS0000007101"
3,5,30,6,"mature","Caliprobola speciosa","NBNSYS0000007102"
23,2,15,11,"mature","Chalcosyrphus nemorum","NBNSYS0000007103"
17,4,1,7,"mature","Chalcosyrphus eunotus","NBNSYS0000007104"
5,4,2,10,"mature","Criorhina asilica","NBNSYS0000007105"
16,3,10,11,"mature","Criorhina berberina","NBNSYS0000007106"
5,4,7,10,"mature","Criorhina floccosa","NBNSYS0000007107"
2,3,13,11,"mature","Criorhina ranunculi","NBNSYS0000007108"
12,4,2,11,"mature","Pocota personata","NBNSYS0000007109"
8,1,18,12,"mature","Syritta pipiens","NBNSYS0000007110"
6,1,10,11,"mature","Tropidia scita","NBNSYS0000007111"
23,4,23,9,"mature","Xylota abiens","NBNSYS0000007112"
28,4,18,10,"mature","Xylota florum","NBNSYS0000007114"
8,1,21,11,"mature","Xylota segnis","NBNSYS0000007115"
8,1,1,12,"mature","Xylota sylvarum","NBNSYS0000007116"
22,4,24,10,"mature","Xylota tarda","NBNSYS0000007117"
18,5,25,9,"mature","Xylota xanthocnema","NBNSYS0000007118"
20,5,14,7,"mature","Microdon devius","NBNSYS0000007119"
27,4,12,6,"mature","Cheilosia uviformis","NBNSYS0000033081"
11,5,21,8,"mature","Sphegina sibirica","NBNSYS0000033089"
6,5,6,5,"mature","Epistrophe ochrostoma","NBNSYS0000033189"
15,4,29,9,"mature","Epistrophe melanostoma","NBNSYS0000033212"
8,6,10,7,"mature","Sphaerophoria bankowskae","NBNSYS0000033254"
3,8,12,8,"mature","Helophilus affinis","NBNSYS0000042363"
23,4,24,5,"mature","Cheilosia psilophthalma","NBNSYS0000042524"
27,6,1,7,"mature","Cheilosia ahenea","NBNSYS0000144219"
18,2,16,9,"mature","Chrysogaster cemiteriorum","NBNSYS0000144380"
21,5,31,7,"mature","Doros profuges","NBNSYS0000146310"
9,5,1,10,"mature","Lejogaster tarsata","NBNSYS0000150120"
18,2,9,10,"mature","Sphaerophoria interrupta","NBNSYS0000157028"
22,4,14,10,"mature","Sphaerophoria philanthus","NBNSYS0000157031"
30,4,2,10,"mature","Sphegina elegans","NBNSYS0000157089"
14,4,2,10,"mature","Brachypalpoides lentus","NBNSYS0100002071"
9,4,7,9,"mature","Cheilosia lasiopa","NBNSYS0100002329"
26,3,2,11,"mature","Cheilosia latifrons","NBNSYS0100002330"
20,3,2,11,"mature","Cheilosia urbana","NBNSYS0100002332"
6,1,18,12,"mature","Cheilosia vicina","NBNSYS0100002333"
6,4,27,10,"mature","Dasysyrphus pinastri","NBNSYS0100002754"
28,4,12,10,"mature","Eriozona erratica","NBNSYS0100003070"
28,3,6,7,"mature","Eristalis similis","NBNSYS0100003072"
18,6,10,8,"mature","Eupeodes lapponicus","NBNSYS0100003108"
11,1,17,12,"mature","Eupeodes latifasciatus","NBNSYS0100003109"
5,7,5,9,"mature","Eupeodes lundbecki","NBNSYS0100003111"
13,4,1,10,"mature","Eupeodes nielseni","NBNSYS0100003112"
13,4,21,11,"mature","Eupeodes nitens","NBNSYS0100003113"
25,4,11,8,"mature","Heringia brevidens","NBNSYS0100003448"
1,5,19,10,"mature","Heringia latitarsis","NBNSYS0100003449"
22,4,29,8,"mature","Heringia pubescens","NBNSYS0100003450"
14,4,30,9,"mature","Heringia verrucula","NBNSYS0100003451"
25,4,16,10,"mature","Heringia vitripennis","NBNSYS0100003452"
19,5,21,9,"mature","Lejops vittatus","NBNSYS0100003702"
20,5,23,9,"mature","Melanogaster aerosa","NBNSYS0100003968"
18,1,2,11,"mature","Melanogaster hirtella","NBNSYS0100003969"
13,4,8,9,"mature","Meligramma euchromum","NBNSYS0100003973"
8,5,10,9,"mature","Meligramma guttatum","NBNSYS0100003975"
15,4,2,11,"mature","Meligramma trianguliferum","NBNSYS0100003977"
3,2,7,11,"mature","Microdon analis","NBNSYS0100004052"
20,5,24,9,"mature","Myolepta dubia","NBNSYS0100004156"
10,4,2,10,"mature","Parasyrphus lineola","NBNSYS0100004457"
17,4,1,10,"mature","Parasyrphus malinellus","NBNSYS0100004458"
18,2,17,12,"mature","Platycheirus granditarsus","NBNSYS0100004762"
11,3,29,10,"mature","Platycheirus rosarum","NBNSYS0100004763"
20,2,2,11,"mature","Riponnensia splendens","NBNSYS0100005170"
3,4,15,11,"mature","Pipizella viduata","NBNSYS0100022723"
4,5,6,9,"mature","Pipizella viduata","NBNSYS0100022723"
5,1,18,12,"mature","Syrphus torvus","NBNSYS0100022820"
18,4,1,12,"mature","Xylota jakutorum","NBNSYS0100027469"
11,1,2,11,"mature","Eumerus funeralis","NBNSYS0100027571"
25,5,25,5,"mature","Cheilosia caerulescens","NHMSYS0020978338"
24,6,25,8,"mature","Eupeodes goeldlini","NHMSYS0020978344"
3,7,7,7,"mature","Orthonevra intermedia","NHMSYS0020978350"
24,8,24,8,"mature","Trichopsomyia lucida","NHMSYS0020978356"
23,5,30,8,"mature","Chrysotoxum octomaculatum","NHMSYS0021182153"
20,3,2,11,"mature","Xanthogramma pedissequum sensu lato","NHMSYS0021196425"
15,4,10,7,"mature","Dasysyrphus venustus sensu lato","NHMSYS0021196476"
6,2,18,12,"mature","Dasysyrphus venustus sensu lato","NHMSYS0021196476"
18,4,8,9,"mature","Pipiza fasciata","NHMSYS0021264992"
26,4,7,10,"mature","Pipiza notata","NHMSYS0021264997"
20,1,31,10,"mature","Sericomyia superbiens","NHMSYS0021265002"
18,2,22,10,"mature","Eristalis abusiva","NHMSYS0021385409"
8,1,6,12,"mature","Eristalis intricaria","NHMSYS0021385414"
8,6,7,8,"mature","Pelecocera caledonica","NHMSYS0021590762"
2,6,31,10,"mature","Pelecocera scaevoides","NHMSYS0021590767"
